Soil_Type,Crop,Amendment,N_initial,P_initial,K_initial,OM_initial,pH_initial,N_after,P_after,K_after,OM_after,pH_after,Yield
Loamy,Wheat,Green_Manure,163.60448170285338,20.831529846982228,196.62821900993492,3.8969627922854118,6.545663137103087,218.4979240432403,39.96149194999428,217.29129026328886,5.128619278287701,6.545663137103087,6.15451768849463
Clay,Rice,None,161.77786024159312,44.69570110217012,307.2516391191333,5.2965500649060555,7.538786680587874,161.77786024159312,44.69570110217012,307.2516391191333,5.2965500649060555,7.538786680587874,5.677503552686556
Sandy,Corn,Green_Manure,57.7683888655053,22.872258185060552,58.00797292988877,1.2016798009598573,5.52058028651842,118.85925661173367,33.79981435800642,96.93028996825674,2.2667299292235414,5.52058028651842,4.398479986952698
Clay,Soybean,NPK_Fertilizer,204.57347063749367,39.53754383826809,295.38637899073,5.782601998902637,7.32852725754604,340.7176303094428,98.07614004387065,486.88533462310187,5.782601998902637,7.03378956064259,3.3100900747146302
Loamy,Wheat,Biochar,131.96497149310542,39.488729165458956,170.76521711508167,2.8167159124514995,5.5424579949424055,145.6232911050018,47.08270317275424,186.6401311832195,4.796804742088577,6.3902219502096225,5.863217461026492
Clay,Soybean,Green_Manure,222.3698527732357,33.2291063569871,256.70680555370194,3.6000633135686155,7.253387703348819,264.8222318404114,48.71992793075482,285.1726720648931,4.318486092511759,7.253387703348819,3.9706866412812603
Clay,Corn,NPK_Fertilizer,210.45982064306537,58.74233080309666,209.77120640765847,5.293314516790416,7.673165422125342,356.1691920075143,148.9164375809979,402.6257787689693,5.293314516790416,7.49080876712439,7.291146524777615
Clay,Corn,NPK_Fertilizer,161.58438623682125,45.543970019922945,241.38907833906026,3.7255321031528013,7.681527912726384,332.9016976703126,121.43948890931853,366.8416588119839,3.7255321031528013,7.400563740599104,9.673696470532281
Loamy,Wheat,NPK_Fertilizer,147.38857218511666,34.5135950149448,209.32515435607843,4.533957381625697,6.02148252262155,258.03257681647153,120.36573582190543,408.1614599908222,4.533957381625697,5.727738165398265,9.291547197852282
Clay,Rice,Manure,243.97458656600895,30.135651142902418,309.5307865156234,6.133659036622362,7.3504561920015945,286.59815533897904,65.57669178613916,366.3033955455833,8.036120075497312,7.508311054892108,5.688959999610871
Clay,Soybean,Compost,188.83294178798553,36.85996995225008,211.76194388822037,7.369165510358469,7.519778862653659,230.31343088605186,48.48253958072527,259.53250354610464,8.85386380767522,7.709246185211579,2.863843802012499
Sandy,Soybean,Biochar,98.93249665166235,26.27331385976139,148.290769325313,0.9061683930827649,5.418854094144979,108.6773545018516,40.178452432348465,165.9314686450107,2.3516760387685647,6.15134000906598,2.5805295576657463
Clay,Corn,None,232.94852348391572,63.34076276330704,250.2429328666216,4.562211019646435,6.425101460013104,232.94852348391572,63.34076276330704,250.2429328666216,4.562211019646435,6.425101460013104,5.977146573861223
Loamy,Wheat,Compost,179.6755131647838,34.78213610816882,212.74843920112707,3.164605672794346,6.958101885443211,202.72287506365114,60.594208943707294,259.1347527824828,5.883183887422671,7.419856941605874,4.956874311575851
Loamy,Rice,Manure,187.87717586182205,32.415905447032,193.08763712759207,4.603651565519449,6.8163888717446515,241.31487818285828,60.295916789869246,256.92546432155467,5.644970629537171,6.9697073404848915,5.861348858516443
Sandy,Rice,NPK_Fertilizer,90.52060740430082,21.026516396318463,68.55769308576001,1.5131228603657292,6.465901300957423,288.55452457719434,81.22838133544118,225.5911580708151,1.5131228603657292,6.322034685744775,4.624870681347584
Sandy,Soybean,Biochar,54.73928213775315,15.183955491761441,118.88566045135758,0.5964231529596657,5.878990734828461,66.01773922186467,23.09034856367939,140.3194117944673,2.020126446574203,6.463305684825575,2.488337752424278
Loamy,Rice,Green_Manure,171.15796155321357,29.219951444822456,191.6110368394306,3.7002061567348905,6.36936943108035,234.6765763288043,39.74957828101602,215.44118745043744,4.777046602929255,6.36936943108035,4.3528678646731045
Loamy,Rice,NPK_Fertilizer,138.78067754783112,22.681157941684045,213.03136038025895,4.803720031281529,6.343524182637081,321.7900816637929,94.56174377176002,348.5109906926599,4.803720031281529,6.132106228534949,9.228596274480063
Clay,Soybean,Compost,202.6469425082633,60.45682269254157,306.03003782563906,5.773389668817506,6.975588904202589,244.45057621696083,77.89110206225168,329.260488572826,8.123451907692587,7.28314499588001,2.696725320707632
Clay,Corn,Green_Manure,151.71544287131522,54.64935177360307,218.978852967918,4.935175406244361,6.882261843910463,196.9763110369629,73.13801769484849,253.27813361252632,5.668811164337168,6.882261843910463,4.918108101365137
Loamy,Wheat,None,121.43151705957851,34.16534157704367,211.2123387445762,4.054575176131777,6.812276813271293,121.43151705957851,34.16534157704367,211.2123387445762,4.054575176131777,6.812276813271293,4.185313636837661
Clay,Soybean,Compost,160.34165754279664,31.955669796422733,277.1586476048095,4.442972015282216,6.869973896938584,186.67325862819183,42.4023090680242,319.52567425337554,6.494157108768373,7.132862821068645,2.516274341900311
Sandy,Rice,NPK_Fertilizer,83.64315885839008,27.74699002828474,78.57437482603112,1.0010221712919625,4.556421128228882,232.89870368952916,109.18303798017837,185.74379633214684,1.0010221712919625,4.267658207961088,5.20642469321138
Loamy,Corn,Biochar,100.00011373946255,33.61744658360294,220.5242652448282,2.2341978453281124,6.249248455387407,110.01618456097569,42.26596221806902,237.04365212138302,2.848772707699978,7.057330454552089,8.666387608041035
Clay,Soybean,Compost,184.52587073170292,62.54366099969826,325.7809282893437,3.313637195830344,7.525055247734041,222.06297818007255,92.01137806633149,369.14996206544714,6.140823767433369,7.681221565311698,3.5806412365271143
Loamy,Wheat,Manure,160.70820641790147,43.412167208038866,198.6465890945087,2.65781976543504,6.387589186272161,199.21587289190336,83.40314165565164,263.3167751955997,4.024286958424598,6.552358288174719,7.296754516662648
Sandy,Soybean,None,55.24618483231559,16.70193874857765,121.18859181497493,1.3379064117646708,5.912601233809505,55.24618483231559,16.70193874857765,121.18859181497493,1.3379064117646708,5.912601233809505,1.5198398156159205
Loamy,Wheat,Green_Manure,154.32612939427096,35.80129649612173,183.15562027456076,4.943290609285279,6.393579578670479,205.54346818799505,45.87598301334907,211.2900541269537,5.973615051838903,6.393579578670479,4.781444328225165
Sandy,Rice,NPK_Fertilizer,63.45675412851334,27.539371439743093,72.15446912228894,1.3608966784225092,5.2228359663141095,173.7972531919736,111.40956816668994,237.37902399737834,1.3608966784225092,4.9743610139542085,4.328602748529606
Clay,Wheat,Manure,200.24280138676676,35.22433923672291,211.68003933798957,5.721878758983677,6.551243051436556,230.9588056183849,68.50495072480771,252.91579170463095,7.423040412228666,6.671469712632488,5.408088082934067
Loamy,Rice,Compost,164.19839961316893,48.69550432788408,187.96934577940422,4.620106459397772,5.616582119200502,192.02510797393194,75.35471962371258,214.1775497551269,7.560656133998171,6.03863316679101,6.282991735936764
Clay,Corn,Manure,194.23961651133257,33.43149051571262,276.7918297419335,7.41446974257,7.5033236824013345,260.09952492569596,68.16161325527614,306.95472145533637,9.053264034795228,7.7320870475061305,6.84563199136388
Clay,Soybean,NPK_Fertilizer,171.8405007698576,56.60376823994107,241.27043580190536,3.51158158944982,7.740678136035801,301.02305156222644,140.47128543841546,367.66845472330846,3.51158158944982,7.536023937598465,5.034540484393592
Sandy,Rice,Manure,63.3803062853079,14.559278026047302,61.212233059093755,1.3704752903621498,5.737944216514303,103.41479484470031,48.802648889092545,121.57415919154901,2.3840953381117505,5.882573748012319,3.4237524096700236
Clay,Soybean,Manure,173.4390636801617,56.06315949617748,219.21922690913578,5.959492803128465,7.702993460905937,219.4461276260222,76.89838805640534,266.68053792453304,7.298718573533682,7.906005447939527,3.9180249061956856
Clay,Wheat,Manure,242.21776650205658,46.375796044893235,262.571666078997,4.5391091605551575,7.451811378194185,294.695179580905,75.09963341509257,306.0951961925356,5.620929068593785,7.666945266326303,5.151334834781656
Loamy,Corn,NPK_Fertilizer,149.74397782921403,39.43174202746579,237.613162722713,2.4507313688252332,6.286130514335298,337.31863343615134,135.43563636552412,416.5605935447999,2.4507313688252332,5.987757749573324,8.743466994698682
Loamy,Rice,Manure,160.9773642801237,45.15738566788892,238.48077412378393,3.374590039651302,5.516938470608662,214.24582124532392,66.49538780684652,279.2655030894544,4.416085369099768,5.638896770513272,7.243719045622474
Clay,Corn,NPK_Fertilizer,210.98978339591548,37.55807118573973,290.88292352558346,5.950255212137993,6.043915485535436,382.52790705666126,136.24647454179754,439.2788217666143,5.950255212137993,5.840970676168659,6.992540143651109
Sandy,Soybean,None,65.16597409381005,21.188169323718625,79.35522000572615,1.5024718608940655,6.166457974762318,65.16597409381005,21.188169323718625,79.35522000572615,1.5024718608940655,6.166457974762318,2.1127479964633364
Sandy,Rice,Green_Manure,97.47783503433357,22.742121964506516,106.43695499727485,1.5204170073414973,6.0397614983575725,173.99102662606944,38.717528743324536,145.69277149626208,2.6964285732050874,6.0397614983575725,2.8210242184077834
Sandy,Rice,Green_Manure,86.49474680793196,27.218045053978578,138.65583890526602,0.9842631926958254,5.2778207870825256,153.9707128710592,46.17836451214702,159.6322655603708,1.5368157180772006,5.2778207870825256,3.1391940662698166
Sandy,Wheat,Compost,82.2345196261017,23.670468769269803,97.77946795355257,1.1514838345978964,6.012428929907625,108.24396463151842,48.12182029078389,120.8318951382451,3.9935717152320978,6.307651858490635,2.922492883007229
Sandy,Soybean,Compost,65.84874181347254,17.529825539068476,141.67693232051948,1.6050782298597994,5.235145496506249,99.82801839422393,34.66468159137906,175.1010007760157,4.478052995625502,5.428838043683248,1.9367100746662986
Clay,Wheat,None,165.05568446804193,43.89758886483926,326.5437053379263,7.570573644715325,6.630886590701986,165.05568446804193,43.89758886483926,326.5437053379263,7.570573644715325,6.630886590701986,3.507305247211538
Loamy,Wheat,Biochar,110.60268969918833,47.203105397160215,200.83394401557464,3.6147700902635753,5.607003927293527,117.34151290801096,54.15852712583832,221.08236041643494,4.939341204274348,6.252586573949305,5.171726728483647
Sandy,Rice,Green_Manure,58.25338575294906,25.48046842281294,116.09418826698077,1.8515507561446036,5.214794353624799,134.97693051534065,38.039759398452695,152.8326785219084,3.17394819984787,5.214794353624799,3.10196027567782
Clay,Soybean,NPK_Fertilizer,238.74684919811676,52.19661061413342,263.7803829372358,7.099821250782816,6.311933844737715,354.35388847992436,144.26888597342094,444.23796292388414,7.099821250782816,6.189511265980577,3.658932115384594
Clay,Rice,Compost,239.176200655319,63.463995993804524,263.06338834327966,7.664895649063223,6.360305079379868,277.4817800784738,75.05494353811613,308.7215314858049,10.034553319626111,6.7770150809666445,7.599394979608851
